technique_name;technique_parent
Unbekannt;
Mischtechnik;Unbekannt
Malerei;Unbekannt
Wachsmalerei;Malerei
Öl;Malerei
Wasserfarbe;Malerei
Aquarell;Wasserfarbe
Gouache;Wasserfarbe
Deckfarben;Malerei
Acryl;Malerei
Tempera;Malerei
Eitempera;Tempera
Spezialtechniken;Malerei
Miniaturmalerei;Spezialtechniken
Kaseinmalerei;Spezialtechniken
Stumping;Spezialtechniken
Impasto;Spezialtechniken
Lupenmalerei;Spezialtechniken
Waschmalerei;Spezialtechniken
Hinterglasmalerei;Spezialtechniken
Zeichnung;Unbekannt
Stiftzeichnung;Zeichnung
Graphit;Stiftzeichnung
Bleistift;Graphit
Farbstift;Graphit
Filzstift;Stiftzeichnung
Griffel;Stiftzeichnung
Rötelzeichnung;Zeichnung
Sanguine;Rötelzeichnung
Kreide;Zeichnung
Ölkreide;Kreide
Pastell;Kreide
Tusche;Zeichnung
Feder;Tusche
Farbfeder;Feder
Lavierung;Tusche
Kalligraphie;Tusche
Schraffur;Tusche
Kohle;Zeichnung
Sepia;Zeichnung
Collage;Mischtechnik
Skulptur;Unbekannt
Schweißtechnik;Skulptur
Patinierung;Skulptur
Sprühtechnik;Unbekannt
Sprühfarbe;Sprühtechnik
Fotografie;Unbekannt
Farbfotografie;Fotografie
C-Print;Farbfotografie
Schwarzweißfotografie;Fotografie
Silbergelatineabzug;Schwarzweißfotografie
Handwerk;Unbekannt
Stickerei;Handwerk
Eglomisé;Handwerk
Prägung;Handwerk
Metallprägung;Prägung
Vergoldung;Handwerk
Goldprägung;Vergoldung
Polimentvergoldung;Vergoldung
Bronzierung;Vergoldung
Goldschnitt;Vergoldung
Schnitzerei;Handwerk
Mosaik;Handwerk
Druck;Unbekannt
Tiefdruck;Druck
Radierung;Tiefdruck
Aquatinte;Radierung
Farbradierung;Radierung
Kaltnadelradierung;Radierung
Stich/Gravur;Tiefdruck
Kupferstich;Stich/Gravur
Flachdruck;Druck
Lithographie;Flachdruck
Lichtdruck;Flachdruck
Farblithographie;Lithographie
Fotolithographie;Lithographie
Prägedruck;Druck
Hochdruck;Druck
Holzschnitt;Hochdruck
Farbholzschnitt;Holzschnitt
Linolschnitt;Hochdruck
Farblinolschnitt;Linolschnitt
Serigraphie;Druck
Farbserigraphie;Serigraphie
Ölserigraphie;Serigraphie
Irisdruck;Druck
Digitaldruck;Druck
Inkjetdruck;Digitaldruck
